                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0295,                0.65939,                 1.3687,                0.94628,                0.94737,                0.97827,                 0.6324,                 1.3059,                0.62931,                 1.4861,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.0138,                0.64293,                 1.3546,                0.90921,                 0.8892,                0.94051,                0.59183,                  1.381,                0.71971,                 1.5177,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.0171,                0.64213,                 1.3597,                 0.9082,                0.95359,                0.97212,                0.61869,                 1.3118,                0.64184,                 1.4869,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.0171,                0.63305,                 1.3496,                0.90306,                0.90806,                0.95812,                 0.6271,                 1.2895,                0.69168,                 1.4635,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.9876,                0.62097,                 1.3451,                 0.9063,                0.92267,                0.96098,                 0.6077,                 1.3459,                0.66955,                 1.4996,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0048,                0.63004,                 1.3519,                0.94087,                0.92528,                0.96664,                0.62021,                 1.3405,                0.65803,                 1.4986,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.0095,                 0.6301,                 1.3579,                0.91056,                0.92991,                0.96412,                0.63278,                 1.3308,                0.66163,                 1.4907,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.0061,                0.63717,                 1.3425,                0.86186,                0.93684,                0.96326,                 0.6249,                 1.3518,                0.67328,                 1.4849,             0.00046226,             0.00046226,             0.00046226
                     76,                0.97935,                0.61436,                 1.3211,                0.90351,                0.91067,                0.96339,                0.61394,                 1.3525,                0.69157,                 1.5163,             0.00044576,             0.00044576,             0.00044576
                     77,                0.98382,                0.61381,                 1.3329,                0.88909,                0.92632,                0.95885,                0.61409,                 1.3599,                0.66889,                 1.5111,             0.00042925,             0.00042925,             0.00042925
                     78,                0.97303,                 0.6065,                 1.3153,                0.88435,                0.87361,                0.95516,                0.62688,                 1.2953,                0.69859,                 1.4457,             0.00041275,             0.00041275,             0.00041275
                     79,                0.98497,                0.59678,                 1.3311,                0.89204,                0.92105,                0.96479,                0.63421,                 1.3255,                0.66149,                 1.4863,             0.00039625,             0.00039625,             0.00039625
                     80,                0.98219,                0.60319,                 1.3381,                0.92008,                0.93218,                0.97785,                0.62561,                 1.3132,                0.64615,                 1.4783,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.0077,                0.60102,                 1.3367,                0.93312,                0.92559,                0.97378,                0.63224,                 1.3603,                0.62086,                  1.509,             0.00036324,             0.00036324,             0.00036324
                     82,                0.97074,                0.59393,                 1.3202,                0.90159,                0.87435,                0.95956,                 0.6243,                 1.3022,                0.69362,                 1.4738,             0.00034674,             0.00034674,             0.00034674
                     83,                0.95878,                0.59459,                 1.3138,                 0.8955,                0.93275,                0.97456,                 0.6495,                 1.2835,                0.61308,                  1.447,             0.00033023,             0.00033023,             0.00033023
                     84,                 0.9913,                0.58371,                 1.3261,                0.94908,                0.92001,                 0.9765,                0.63876,                  1.317,                0.60349,                 1.4694,             0.00031373,             0.00031373,             0.00031373
                     85,                0.96938,                0.59354,                  1.313,                0.92915,                0.91922,                0.96416,                0.62303,                  1.344,                 0.6553,                 1.4948,             0.00029723,             0.00029723,             0.00029723
                     86,                 0.9784,                0.59197,                 1.3321,                0.94103,                 0.9221,                0.97034,                0.64259,                  1.326,                0.62911,                 1.4853,             0.00028072,             0.00028072,             0.00028072
